Entity,Code,Year,Same-sex marriage (current)
Afghanistan,AFG,2023,09. Not legal
Albania,ALB,2023,07. Unrecognized
Algeria,DZA,2023,09. Not legal
Andorra,AND,2023,01. Legal
Angola,AGO,2023,07. Unrecognized
Anguilla,AIA,2023,03. Foreign same-sex marriages recognized only
Antarctica,ATA,2023,05. Varies by region
Antigua and Barbuda,ATG,2023,03. Foreign same-sex marriages recognized only
Argentina,ARG,2023,01. Legal
Armenia,ARM,2023,03. Foreign same-sex marriages recognized only
Aruba,ABW,2023,01. Legal
Australia,AUS,2023,01. Legal
Austria,AUT,2023,01. Legal
Azerbaijan,AZE,2023,07. Unrecognized
Bahamas,BHS,2023,09. Not legal
Bahrain,BHR,2023,09. Not legal
Bangladesh,BGD,2023,09. Not legal
Barbados,BRB,2023,03. Foreign same-sex marriages recognized only
Belarus,BLR,2023,09. Not legal
Belgium,BEL,2023,01. Legal
Belize,BLZ,2023,07. Unrecognized
Benin,BEN,2023,07. Unrecognized
Bermuda,BMU,2023,02. Civil union or other partnership
Bhutan,BTN,2023,07. Unrecognized
Bolivia,BOL,2023,02. Civil union or other partnership
Bosnia and Herzegovina,BIH,2023,07. Unrecognized
Botswana,BWA,2023,07. Unrecognized
Bouvet Island,BVT,2023,01. Legal
Brazil,BRA,2023,01. Legal
British Indian Ocean Territory,IOT,2023,01. Legal
British Virgin Islands,VGB,2023,07. Unrecognized
Brunei,BRN,2023,09. Not legal
Bulgaria,BGR,2023,03. Foreign same-sex marriages recognized only
Burkina Faso,BFA,2023,09. Not legal
Burundi,BDI,2023,09. Not legal
Cambodia,KHM,2023,05. Varies by region
Cameroon,CMR,2023,09. Not legal
Canada,CAN,2023,01. Legal
Cape Verde,CPV,2023,07. Unrecognized
Cayman Islands,CYM,2023,02. Civil union or other partnership
Central African Republic,CAF,2023,09. Not legal
Chad,TCD,2023,09. Not legal
Chile,CHL,2023,01. Legal
China,CHN,2023,02. Civil union or other partnership
Christmas Island,CXR,2023,01. Legal
Cocos Islands,CCK,2023,01. Legal
Colombia,COL,2023,01. Legal
Comoros,COM,2023,07. Unrecognized
Congo,COG,2023,07. Unrecognized
Cook Islands,COK,2023,09. Not legal
Costa Rica,CRI,2023,01. Legal
Cote d'Ivoire,CIV,2023,07. Unrecognized
Croatia,HRV,2023,02. Civil union or other partnership
Cuba,CUB,2023,01. Legal
Curacao,CUW,2023,03. Foreign same-sex marriages recognized only
Cyprus,CYP,2023,02. Civil union or other partnership
Czechia,CZE,2023,02. Civil union or other partnership
Democratic Republic of Congo,COD,2023,09. Not legal
Denmark,DNK,2023,01. Legal
Djibouti,DJI,2023,07. Unrecognized
Dominica,DMA,2023,07. Unrecognized
Dominican Republic,DOM,2023,07. Unrecognized
Ecuador,ECU,2023,01. Legal
Egypt,EGY,2023,07. Unrecognized
El Salvador,SLV,2023,"08. Unrecognized, same-sex marriage and civil unions banned"
Equatorial Guinea,GNQ,2023,07. Unrecognized
Eritrea,ERI,2023,09. Not legal
Estonia,EST,2023,02. Civil union or other partnership
Eswatini,SWZ,2023,09. Not legal
Ethiopia,ETH,2023,09. Not legal
Faeroe Islands,,2023,01. Legal
Falkland Islands,FLK,2023,01. Legal
Fiji,FJI,2023,09. Not legal
Finland,FIN,2023,01. Legal
France,FRA,2023,01. Legal
French Guiana,GUF,2023,01. Legal
French Polynesia,PYF,2023,01. Legal
French Southern Territories,ATF,2023,01. Legal
Gabon,GAB,2023,07. Unrecognized
Gambia,GMB,2023,09. Not legal
Georgia,GEO,2023,09. Not legal
Germany,DEU,2023,01. Legal
Ghana,GHA,2023,09. Not legal
Gibraltar,GIB,2023,01. Legal
Greece,GRC,2023,02. Civil union or other partnership
Greenland,GRL,2023,01. Legal
Grenada,GRD,2023,07. Unrecognized
Guadeloupe,GLP,2023,01. Legal
Guatemala,GTM,2023,07. Unrecognized
Guinea,GIN,2023,09. Not legal
Guinea-Bissau,GNB,2023,07. Unrecognized
Guyana,GUY,2023,09. Not legal
Haiti,HTI,2023,09. Not legal
Heard Island and McDonald Islands,HMD,2023,01. Legal
Honduras,HND,2023,09. Not legal
Hong Kong,HKG,2023,03. Foreign same-sex marriages recognized only
Hungary,HUN,2023,02. Civil union or other partnership
Iceland,ISL,2023,01. Legal
India,IND,2023,04. Unregistered cohabitation
Indonesia,IDN,2023,09. Not legal
Iran,IRN,2023,09. Not legal
Iraq,IRQ,2023,07. Unrecognized
Ireland,IRL,2023,01. Legal
Isle of Man,IMN,2023,01. Legal
Israel,ISR,2023,03. Foreign same-sex marriages recognized only
Italy,ITA,2023,02. Civil union or other partnership
Jamaica,JAM,2023,09. Not legal
Japan,JPN,2023,05. Varies by region
Jordan,JOR,2023,07. Unrecognized
Kazakhstan,KAZ,2023,09. Not legal
Kenya,KEN,2023,09. Not legal
Kiribati,KIR,2023,07. Unrecognized
Kuwait,KWT,2023,09. Not legal
Kyrgyzstan,KGZ,2023,09. Not legal
Laos,LAO,2023,07. Unrecognized
Latvia,LVA,2023,02. Civil union or other partnership
Lebanon,LBN,2023,07. Unrecognized
Lesotho,LSO,2023,07. Unrecognized
Liberia,LBR,2023,09. Not legal
Libya,LBY,2023,09. Not legal
Liechtenstein,LIE,2023,02. Civil union or other partnership
Lithuania,LTU,2023,03. Foreign same-sex marriages recognized only
Luxembourg,LUX,2023,01. Legal
Macao,MAC,2023,07. Unrecognized
Madagascar,MDG,2023,07. Unrecognized
Malawi,MWI,2023,09. Not legal
Malaysia,MYS,2023,09. Not legal
Maldives,MDV,2023,09. Not legal
Mali,MLI,2023,07. Unrecognized
Malta,MLT,2023,01. Legal
Marshall Islands,MHL,2023,07. Unrecognized
Martinique,MTQ,2023,01. Legal
Mauritania,MRT,2023,09. Not legal
Mauritius,MUS,2023,07. Unrecognized
Mayotte,MYT,2023,01. Legal
Mexico,MEX,2023,01. Legal
Micronesia (country),FSM,2023,07. Unrecognized
Moldova,MDA,2023,09. Not legal
Monaco,MCO,2023,02. Civil union or other partnership
Mongolia,MNG,2023,09. Not legal
Montenegro,MNE,2023,02. Civil union or other partnership
Montserrat,MSR,2023,03. Foreign same-sex marriages recognized only
Morocco,MAR,2023,09. Not legal
Mozambique,MOZ,2023,07. Unrecognized
Myanmar,MMR,2023,07. Unrecognized
Namibia,NAM,2023,03. Foreign same-sex marriages recognized only
Nauru,NRU,2023,07. Unrecognized
Nepal,NPL,2023,03. Foreign same-sex marriages recognized only
Netherlands,NLD,2023,01. Legal
New Caledonia,NCL,2023,01. Legal
New Zealand,NZL,2023,01. Legal
Nicaragua,NIC,2023,07. Unrecognized
Niger,NER,2023,07. Unrecognized
Nigeria,NGA,2023,09. Not legal
Niue,NIU,2023,07. Unrecognized
Norfolk Island,NFK,2023,01. Legal
North Korea,PRK,2023,07. Unrecognized
North Macedonia,MKD,2023,07. Unrecognized
Norway,NOR,2023,01. Legal
Oman,OMN,2023,09. Not legal
Pakistan,PAK,2023,07. Unrecognized
Palau,PLW,2023,09. Not legal
Palestine,PSE,2023,07. Unrecognized
Panama,PAN,2023,09. Not legal
Papua New Guinea,PNG,2023,07. Unrecognized
Paraguay,PRY,2023,"08. Unrecognized, same-sex marriage and civil unions banned"
Peru,PER,2023,"08. Unrecognized, same-sex marriage and civil unions banned"
Philippines,PHL,2023,07. Unrecognized
Pitcairn,PCN,2023,01. Legal
Poland,POL,2023,04. Unregistered cohabitation
Portugal,PRT,2023,01. Legal
Qatar,QAT,2023,09. Not legal
Reunion,REU,2023,01. Legal
Romania,ROU,2023,07. Unrecognized
Russia,RUS,2023,09. Not legal
Rwanda,RWA,2023,09. Not legal
Saint Helena,SHN,2023,01. Legal
Saint Kitts and Nevis,KNA,2023,03. Foreign same-sex marriages recognized only
Saint Lucia,LCA,2023,07. Unrecognized
Saint Pierre and Miquelon,SPM,2023,01. Legal
Saint Vincent and the Grenadines,VCT,2023,03. Foreign same-sex marriages recognized only
Samoa,WSM,2023,07. Unrecognized
San Marino,SMR,2023,02. Civil union or other partnership
Sao Tome and Principe,STP,2023,07. Unrecognized
Saudi Arabia,SAU,2023,09. Not legal
Senegal,SEN,2023,09. Not legal
Serbia,SRB,2023,09. Not legal
Seychelles,SYC,2023,07. Unrecognized
Sierra Leone,SLE,2023,09. Not legal
Singapore,SGP,2023,07. Unrecognized
Sint Maarten (Dutch part),SXM,2023,01. Legal
Slovakia,SVK,2023,04. Unregistered cohabitation
Slovenia,SVN,2023,01. Legal
Solomon Islands,SLB,2023,09. Not legal
Somalia,SOM,2023,09. Not legal
South Africa,ZAF,2023,01. Legal
South Georgia and the South Sandwich Islands,SGS,2023,01. Legal
South Korea,KOR,2023,09. Not legal
South Sudan,SSD,2023,09. Not legal
Spain,ESP,2023,01. Legal
Sri Lanka,LKA,2023,09. Not legal
Sudan,SDN,2023,09. Not legal
Suriname,SUR,2023,07. Unrecognized
Sweden,SWE,2023,01. Legal
Switzerland,CHE,2023,01. Legal
Syria,SYR,2023,07. Unrecognized
Taiwan,TWN,2023,01. Legal
Tajikistan,TJK,2023,09. Not legal
Tanzania,TZA,2023,09. Not legal
Thailand,THA,2023,07. Unrecognized
Timor,,2023,07. Unrecognized
Togo,TGO,2023,09. Not legal
Tokelau,TKL,2023,07. Unrecognized
Tonga,TON,2023,09. Not legal
Trinidad and Tobago,TTO,2023,07. Unrecognized
Tunisia,TUN,2023,09. Not legal
Turkey,TUR,2023,07. Unrecognized
Turkmenistan,TKM,2023,09. Not legal
Turks and Caicos Islands,TCA,2023,03. Foreign same-sex marriages recognized only
Tuvalu,TUV,2023,09. Not legal
Uganda,UGA,2023,09. Not legal
Ukraine,UKR,2023,09. Not legal
United Arab Emirates,ARE,2023,09. Not legal
United Kingdom,GBR,2023,01. Legal
United States,USA,2023,01. Legal
Uruguay,URY,2023,01. Legal
Uzbekistan,UZB,2023,09. Not legal
Vanuatu,VUT,2023,07. Unrecognized
Vatican,VAT,2023,09. Not legal
Venezuela,VEN,2023,"08. Unrecognized, same-sex marriage and civil unions banned"
Vietnam,VNM,2023,07. Unrecognized
Wallis and Futuna,WLF,2023,01. Legal
Western Sahara,ESH,2023,07. Unrecognized
Yemen,YEM,2023,09. Not legal
Zambia,ZMB,2023,09. Not legal
Zimbabwe,ZWE,2023,09. Not legal